ID	Label	Exact Match	Synonyms	Suggested parent term	Abbreviation	Definition	Textual Definition	Definition Source	See Also	Editor	Reviewer1	Reviewer2	Type	Parent	Close Match	Exact Match	Narrow Match	Related Match
pbpko:PBPKO_00011	Race	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049	"RACE
Racial Group
Patient Reported Race"	Physicochemical Parameter		"An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution."	A geographic ancestral origin category  assigned to a population group .	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiological Parameters		http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049		
pbpko:PBPKO_00012	Blood flow	http://purl.org/obo/owl/GO#GO_0008015	blood perfusion	CVS	Q	"Blood flow in PBPK modeling refers to the rate of blood flow to a particular organ or tissue, which is used to calculate the rate of drug/chemical delivery to that organ or tissue"	"Blood flow in PBPK modeling refers to the rate of blood flow to a particular organ or tissue, which is used to calculate the rate of drug delivery to that organ or tissue/chemical"	10.1002/psp4.12134		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiological Parameters		http://purl.org/obo/owl/GO#GO_0008015		
pbpko:PBPKO_00013	Cardiac Output	http://purl.bioontology.org/ontology/MESH/D002302	Stroke volume	CVS	CO	"Cardiac output in PBPK modeling refers to the volume of blood pumped by the heart per unit of time, which is used to calculate the rate of blood flow to different organs and tissues in the body"	"Cardiac output in PBPK modeling refers to the volume of blood pumped by the heart per unit of time, which is used to calculate the rate of blood flow to different organs and tissues in the body"	10.3390/ijerph20043473		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow		http://purl.bioontology.org/ontology/MESH/D002302		
pbpko:PBPKO_00014	Qstomach			Blood flow 		"Qstomach is a parameter used in PBPK modeling to describe the blood flow rate to the stomach, which is used to calculate the rate of drug/chemical delivery to the stomach. The value of Qstomach depends on the species of interest and is defined by the stomach weight/volume and cardiac output"	"Qstomach is a parameter used in PBPK modeling to describe the blood flow rate to the stomach, which is used to calculate the rate of drug/chemical delivery to the stomach. The value of Qstomach depends on the species of interest and is defined by the stomach weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00015	FQstomach			Blood flow		Fraction of blood flow to stomach	Fraction of blood flow to stomach	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00016	Qintestine			Blood flow 		"Qintestine is a parameter used in PBPK modeling to describe the blood flow rate to the intestine, which is used to calculate the rate of drug/chemical delivery to the intestine. The value of Qintestine depends on the species of interest and is defined by the intestine weight/volume and cardiac output"	"Qintestine is a parameter used in PBPK modeling to describe the blood flow rate to the intestine, which is used to calculate the rate of drug/chemical delivery to the intestine. The value of Qintestine depends on the species of interest and is defined by the intestine weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00017	FQintestine			Blood flow 		Fraction of blood flow to intestine	Fraction of blood flow to intestine	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00018	Qsmall intestine			Blood flow 		"Qsmall intestine is a parameter used in PBPK modeling to describe the blood flow rate to the small intestine, which is used to calculate the rate of drug/chemical delivery to the small intestine. The value of Qsmall intestine depends on the species of interest and is defined by the small intestine weight/volume and cardiac output"	"Qsmall intestine is a parameter used in PBPK modeling to describe the blood flow rate to the small intestine, which is used to calculate the rate of drug/chemical delivery to the small intestine. The value of Qsmall intestine depends on the species of interest and is defined by the small intestine weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00019	FQsmall intestine			Blood flow 		Fraction of blood flow to small intestine	Fraction of blood flow to small intestine	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00020	Qlarge intestine			Blood flow 		"Qlarge intestine is a parameter used in PBPK modeling to describe the blood flow rate to the large intestine, which is used to calculate the rate of drug/chemical delivery to the large intestine. The value of Qlarge intestine depends on the species of interest and is defined by the large intestine weight/volume and cardiac output"	"Qlarge intestine is a parameter used in PBPK modeling to describe the blood flow rate to the large intestine, which is used to calculate the rate of drug/chemical delivery to the large intestine. The value of Qlarge intestine depends on the species of interest and is defined by the large intestine weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00021	FQlarge intestine			Blood flow 		Fraction of blood flow to large intestine	Fraction of blood flow to large intestine	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00022	Qpancreas			Blood flow 		"Qpancreas is a parameter used in PBPK modeling to describe the blood flow rate to the pancreas, which is used to calculate the rate of drug/chemical delivery to the pancreas. The value of Qpancreas depends on the species of interest and is defined by the pancreas weight/volume and cardiac output"	"Qpancreas is a parameter used in PBPK modeling to describe the blood flow rate to the pancreas, which is used to calculate the rate of drug/chemical delivery to the pancreas. The value of Qpancreas depends on the species of interest and is defined by the pancreas weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00023	FQpancreas			Blood flow 		Fraction of blood flow to pancreas	Fraction of blood flow to pancreas	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00024	Qliver			Blood flow 		"Qliver is a parameter used in PBPK modeling to describe the blood flow rate to the liver, which is used to calculate the rate of drug/chemical delivery to the liver. The value of Qliver depends on the species of interest and is defined by the liver weight/volume and cardiac output"	"Qliver is a parameter used in PBPK modeling to describe the blood flow rate to the liver, which is used to calculate the rate of drug/chemical delivery to the liver. The value of Qliver depends on the species of interest and is defined by the liver weight/volume and cardiac output"	"10.1002/psp4.12134
https://www.ema.europa.eu/en/documents/scientific-guideline/guideline-reporting-physiologically-based-pharmacokinetic-pbpk-modelling-simulation_en.pdf"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00025	FQliver		FQhepatic	Blood flow 		Fraction of blood flow to liver	Fraction of blood flow to liver	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00026	Qkidney			Blood flow 		"Qkidney is a parameter used in PBPK modeling to describe the blood flow rate to the kidney, which is used to calculate the rate of drug/chemical delivery to the kidney. The value of Qkidney depends on the species of interest and is defined by the kidney weight/volume and cardiac output"	"Qkidney is a parameter used in PBPK modeling to describe the blood flow rate to the kidney, which is used to calculate the rate of drug/chemical delivery to the kidney. The value of Qkidney depends on the species of interest and is defined by the kidney weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00027	FQkidney		FQrenal	Blood flow 		Fraction of blood flow to kidney	Fraction of blood flow to kidney	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00028	Qmuscle			Blood flow 		"Qmuscle is a parameter used in PBPK modeling to describe the blood flow rate to the muscle, which is used to calculate the rate of drug/chemical delivery to the muscle. The value of Qmuscle depends on the species of interest and is defined by the muscle weight/volume and cardiac output"	"Qmuscle is a parameter used in PBPK modeling to describe the blood flow rate to the muscle, which is used to calculate the rate of drug/chemical delivery to the muscle. The value of Qmuscle depends on the species of interest and is defined by the muscle weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00029	FQmuscle			Blood flow 		Fraction of blood flow to muscle	Fraction of blood flow to muscle	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00030	Qheart			Blood flow 		"Qheart is a parameter used in PBPK modeling to describe the blood flow rate to the heart, which is used to calculate the rate of drug/chemical delivery to the heart. The value of Qheart depends on the species of interest and is defined by the heart weight/volume and cardiac output"	"Qheart is a parameter used in PBPK modeling to describe the blood flow rate to the heart, which is used to calculate the rate of drug/chemical delivery to the heart. The value of Qheart depends on the species of interest and is defined by the heart weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00031	FQheart		FQcardiac	Blood flow 		Fraction of blood flow to heart	Fraction of blood flow to heart	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00032	Qfat			Blood flow 	Qadipose tissue	"Qfat is a parameter used in PBPK modeling to describe the blood flow rate to the fat, which is used to calculate the rate of drug/chemical delivery to the fat. The value of Qfat depends on the species of interest and is defined by the fat weight/volume and cardiac output"	"Qfat is a parameter used in PBPK modeling to describe the blood flow rate to the fat, which is used to calculate the rate of drug/chemical delivery to the fat. The value of Qfat depends on the species of interest and is defined by the fat weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00033	FQfat			Blood flow 		Fraction of blood flow to fat	Fraction of blood flow to fat	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00034	Qgonads			Blood flow 		"Qgonads is a parameter used in PBPK modeling to describe the blood flow rate to the gonads, which is used to calculate the rate of drug/chemical delivery to the gonads. The value of Qgonads depends on the species of interest and is defined by the gonads weight/volume and cardiac output"	"Qgonads is a parameter used in PBPK modeling to describe the blood flow rate to the gonads, which is used to calculate the rate of drug/chemical delivery to the gonads. The value of Qgonads depends on the species of interest and is defined by the gonads weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00035	FQgonads			Blood flow 		Fraction of blood flow to gonads	Fraction of blood flow to gonads	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00036	Qskin			Blood flow 		"Qskin is a parameter used in PBPK modeling to describe the blood flow rate to the skin, which is used to calculate the rate of drug/chemical delivery to the skin. The value of Qskin depends on the species of interest and is defined by the skin weight/volume and cardiac output"	"Qskin is a parameter used in PBPK modeling to describe the blood flow rate to the skin, which is used to calculate the rate of drug/chemical delivery to the skin. The value of Qskin depends on the species of interest and is defined by the skin weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00037	FQskin			Blood flow 		Fraction of blood flow to skin	Fraction of blood flow to skin	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00038	Qbone			Blood flow 		"Qbone is a parameter used in PBPK modeling to describe the blood flow rate to the bone, which is used to calculate the rate of drug/chemical delivery to the bone. The value of Qbone depends on the species of interest and is defined by the bone weight/volume and cardiac output"	"Qbone is a parameter used in PBPK modeling to describe the blood flow rate to the bone, which is used to calculate the rate of drug/chemical delivery to the bone. The value of Qbone depends on the species of interest and is defined by the bone weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00039	FQbone			Blood flow 		Fraction of blood flow to bone	Fraction of blood flow to bone	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00040	Qbrain			Blood flow 		"Qbrain is a parameter used in PBPK modeling to describe the blood flow rate to the brain, which is used to calculate the rate of drug/chemical delivery to the brain. The value of Qbrain depends on the species of interest and is defined by the brain weight/volume and cardiac output"	"Qbrain is a parameter used in PBPK modeling to describe the blood flow rate to the brain, which is used to calculate the rate of drug/chemical delivery to the brain. The value of Qbrain depends on the species of interest and is defined by the brain weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00041	FQbrain			Blood flow 		Fraction of blood flow to brain	Fraction of blood flow to brain	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00042	Qspleen			Blood flow 		"Qspleen is a parameter used in PBPK modeling to describe the blood flow rate to the spleen, which is used to calculate the rate of drug/chemical delivery to the spleen. The value of Qspleen depends on the species of interest and is defined by the spleen weight/volume and cardiac output"	"Qspleen is a parameter used in PBPK modeling to describe the blood flow rate to the spleen, which is used to calculate the rate of drug/chemical delivery to the spleen. The value of Qspleen depends on the species of interest and is defined by the spleen weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00043	FQspleen			Blood flow 		Fraction of blood flow to spleen	Fraction of blood flow to spleen	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00044	Qlung			Blood flow 		"Qlung is a parameter used in PBPK modeling to describe the blood flow rate to the lung, which is used to calculate the rate of drug/chemical delivery to the lung. The value of Qlung depends on the species of interest and is defined by the lung weight/volume and cardiac output"	"Qlung is a parameter used in PBPK modeling to describe the blood flow rate to the lung, which is used to calculate the rate of drug/chemical delivery to the lung. The value of Qlung depends on the species of interest and is defined by the lung weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00045	FQlung			Blood flow 		Fraction of blood flow to lung	Fraction of blood flow to lung	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00046	Qpoorly perfused			Blood flow 		"Qpoorly perfused is a parameter used in PBPK modeling to describe the blood flow rate to the poorly perfused organ/tissue, which is used to calculate the rate of drug/chemical delivery to the poorly perfused organ/tissue. The value of Qpoorly perfused depends on the species of interest and is defined by the poorly perfused organ/tissue weight/volume and cardiac output"	"Qpoorly perfused is a parameter used in PBPK modeling to describe the blood flow rate to the poorly perfused organ/tissue, which is used to calculate the rate of drug/chemical delivery to the poorly perfused organ/tissue. The value of Qpoorly perfused depends on the species of interest and is defined by the poorly perfused organ/tissue weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00047	FQpoorly perfused			Blood flow 		Fraction of blood flow to poorly perfused tissues/organ	Fraction of blood flow to poorly perfused tissues/organ	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00048	Qrichly perfused			Blood flow 		"Qrichly perfused is a parameter used in PBPK modeling to describe the blood flow rate to the richly perfused organ/tissue, which is used to calculate the rate of drug/chemical delivery to the richly perfused organ/tissue. The value of Qrichly perfused depends on the species of interest and is defined by the richly perfused organ/tissue weight/volume and cardiac output"	"Qrichly perfused is a parameter used in PBPK modeling to describe the blood flow rate to the richly perfused organ/tissue, which is used to calculate the rate of drug/chemical delivery to the richly perfused organ/tissue. The value of Qrichly perfused depends on the species of interest and is defined by the richly perfused organ/tissue weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00049	FQrichly perfused			Blood flow 		Fraction of blood flow to richly perfused tissues/organs	Fraction of blood flow to richly perfused tissues/organs	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00050	Qrestbody			Blood flow 		"Qrestbody is a parameter used in PBPK modeling to describe the blood flow rate to the remaining organ/tissue, which is used to calculate the rate of drug/chemical delivery to the remaining organ/tissue. The value of Qrestbody can be obtained by subtracting the total body blood flow with the blood flow of each organs/tissue present in the model."	"Qrestbody is a parameter used in PBPK modeling to describe the blood flow rate to the remaining organ/tissue, which is used to calculate the rate of drug/chemical delivery to the remaining organ/tissue. The value of Qrestbody can be obtained by subtracting the total body blood flow with the blood flow of each organs/tissue present in the model."			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00051	FQrestbody					Fraction of cardiac output to the rest of the body	Fraction of cardiac output to the rest of the body	doi:10.1016/j.tiv.2013.03.012		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00052	Qgallballder			Blood flow 		"Qgall bladder is a parameter used in PBPK modeling to describe the blood flow rate to the gall bladder, which is used to calculate the rate of drug/chemical delivery to the gall bladder. The value of Qgall bladder depends on the species of interest and is defined by the gall bladder weight/volume and cardiac output"	"Qgall bladder is a parameter used in PBPK modeling to describe the blood flow rate to the gall bladder, which is used to calculate the rate of drug/chemical delivery to the gall bladder. The value of Qgall bladder depends on the species of interest and is defined by the gall bladder weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00053	FQgallballder					Fraction of cardiac output to the gall bladder	Fraction of cardiac output to the gall bladder	doi:10.1016/j.tiv.2013.03.012		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00054	Qportal vein			Blood flow 		"Qportal vein is a parameter used in PBPK modeling to describe the blood flow rate to the portal vein, which is used to calculate the rate of drug/chemical delivery to the portal vein. The value of Qportal vein depends on the species of interest and is defined by the portal vein weight/volume and cardiac output"	"Qportal vein is a parameter used in PBPK modeling to describe the blood flow rate to the portal vein, which is used to calculate the rate of drug/chemical delivery to the stomach. The value of Qportal vein depends on the species of interest and is defined by the portal vein weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00055	FQportal vein					Fraction of cardiac output in the portal vein	Fraction of cardiac output in the portal vein	doi:10.1016/j.tiv.2013.03.012		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00056	Qlymph			Blood flow 		"Qlymph is a parameter used in PBPK modeling to describe the blood flow rate to the lymph, which is used to calculate the rate of drug/chemical delivery to the lymph. The value of Qlymph depends on the species of interest and is defined by the lymph weight/volume and cardiac output"	"Qlymph is a parameter used in PBPK modeling to describe the blood flow rate to the lymph, which is used to calculate the rate of drug/chemical delivery to the lymph. The value of Qlymph depends on the species of interest and is defined by the lymph weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00057	FQlymph					Fraction of cardiac output in the portal vein	Fraction of cardiac output in the portal vein	doi:10.1016/j.tiv.2013.03.012		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow				
pbpko:PBPKO_00058	Qmetab					Qmetab? represents the metabolic clearance rate of a drug in a specific organ or tissue compartment.	Qmetab? represents the metabolic clearance rate of a drug in a specific organ or tissue compartment.	doi.org/10.1002/9780470921920.edm036		0000-0001-8345-1349	0000-0002-9795-5967			Blood flow				
pbpko:PBPKO_00059	Qexcret					Qexcret? represents the excreation clearance rate of a drug in a specific organ or tissue compartment.	Qexcret? represents the excreation clearance rate of a drug in a specific organ or tissue compartment.	doi.org/10.1002/9780470921920.edm036		0000-0001-8345-1349	0000-0002-9795-5967			Blood flow				
pbpko:PBPKO_00060	Qair									0000-0001-8345-1349	0000-0002-9795-5967			Blood flow				
pbpko:PBPKO_00061	scFBlood					fractions of total blood flow 	fractions of total blood flow 	DOI: 10.1177/074823379701300401 		0000-0001-8345-1349	0000-0002-9795-5967			Volume of organ				
pbpko:PBPKO_00062	FSkin_e					Fraction of  exposed skin volume	Fraction of  exposed skin volume	DOI: 10.1177/074823379701300401 		0000-0001-8345-1349	0000-0002-9795-5967			Volume of organ				
pbpko:PBPKO_00063	FSkin_u					Fraction of  unexposed skin volume	Fraction of  unexposed skin volume	DOI: 10.1177/074823379701300401 		0000-0001-8345-1349	0000-0002-9795-5967			Volume of organ				
pbpko:PBPKO_00064	Arterial blood flow	http://purl.obolibrary.org/obo/CMO_0000198		Blood flow 		Arterial blood flow in PBPK modeling represents the rate of blood flow to the tissues and organs through the arterial system. This parameter is essential for estimating the distribution of drugs and other substances in the body	Arterial blood flow in PBPK modeling represents the rate of blood flow to the tissues and organs through the arterial system. This parameter is essential for estimating the distribution of drugs and other substances in the body	"10.1007/s40268-020-00325-0
10.1186/1472-6904-4-2"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow		http://purl.obolibrary.org/obo/CMO_0000198		
pbpko:PBPKO_00065	Venous blood flow	http://purl.obolibrary.org/obo/CMO_0000199		Blood flow 		Venous blood flow in PBPK modeling represents the rate of blood flow returning from the tissues and organs through the venous system. This parameter is essential for estimating the distribution of drugs/chemicals and other substances in the body.	Venous blood flow in PBPK modeling represents the rate of blood flow returning from the tissues and organs through the venous system. This parameter is essential for estimating the distribution of drugs/chemicals and other substances in the body.			0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow		http://purl.obolibrary.org/obo/CMO_0000199		
pbpko:PBPKO_00066	Glomerular filtration rate	http://purl.bioontology.org/ontology/MESH/D005919		Blood flow 	GFR	Glomerular filtration rate (GFR) is a measure of kidney function that describes the flow rate of filtered fluid through the kidney	Glomerular filtration rate (GFR) is a measure of kidney function that describes the flow rate of filtered fluid through the kidney	Glomerular filtration rate - Wikipedia		0000-0001-8345-1349	0000-0002-9795-5967		Class	Blood flow		http://purl.bioontology.org/ontology/MESH/D005919		
pbpko:PBPKO_00067	Volume of organ			Volume of organ	Vorgan	Organ volume in PBPK modeling refers to the volume of a specific organ or tissue in the body. 	Organ volume in PBPK modeling refers to the volume of a specific organ or tissue in the body. 	10.1002/psp4.12205		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiological Parameters				
pbpko:PBPKO_00068	Vstomach			Volume of organ		Volume of stomach	Volume of stomach	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
