Label	Parent
PCRich	Partition coefficient
PCPoor	Partition coefficient
PCSkin_sc	Partition coefficient
PCAir	Partition coefficient
Kp_sc_vs	Diffusion Coefficient
Human serum albumin	Biochemical Parameters
alpha acid glycoprotein	Biochemical Parameters
Blood:Plasma ratio	Biochemical Parameters
Metabolism	Biological process
catalytic rate constant	Biochemical Parameters
Ontogeny	Biochemical Parameters
Phase I	Metabolism
CYP enzymes	Enzymes
CYP1A2	CYP enzymes
Cytochrome P-450 CYP2E1	CYP enzymes
Cytochrome P-450 CYP3A4	CYP enzymes
Cytochrome P-450 CYP2D6	CYP enzymes
Cytochrome P-450 CYP2C9	CYP enzymes
Cytochrome p450 CYP3A7	CYP enzymes
CYP2C8	CYP enzymes
Phase II	Metabolism
UGT1A1	UGT enzymes
UGT1A4	UGT enzymes
UGT1A6	UGT enzymes
UGT1A9	UGT enzymes
UGT2B4	UGT enzymes
UGT2B7	UGT enzymes
SULT	Enzymes
NAT 2	Enzymes
Phase III	Metabolism
First pass metabolism	Metabolism
Vmax_intestine	Biochemical Parameters
Km_intestine	Biochemical Parameters
Vmax_liver	Biochemical Parameters
Km_liver	Biochemical Parameters
Gut Metabolism	Metabolism
kd	Biochemical Parameters
Transporters	
OATP	Transporters
Abcc3	Transporters
Abcc2	Transporters
kdeg	Biochemical Parameters
ki	Biochemical Parameters
Excretion	Biological process
Renal excretion	Excretion
Hepatic Excretion	Excretion
Fecal excretion	Excretion
Exhalation	Excretion
Sweat excretion	Excretion
Hair excretion	Excretion
Clearance	Excretion
Fecal clearance	Clearance
sweat clearance	Clearance
urinary clearance	Clearance
biliary clearance	Clearance
Hepatic clearance	Clearance
intrinsic clearance	Clearance
fecal elimination rate constant	Biochemical Parameters
Renal elimination rate constant	Biochemical Parameters
Biliary elimination	elimination
Route of exposure	Parameters
oral	Route of exposure
dermal	Route of exposure
Inhalation	Route of exposure
intravenous bolus	Route of exposure
intravenous infusion	Route of exposure
intramuscular	Route of exposure
intraarterial	Route of exposure
intrathecal	Route of exposure
subcutaneous	Route of exposure
nasal	Route of exposure
transdermal	Route of exposure
ocular	Route of exposure
Output parameters	Parameters
Peak Concentration	Output parameters
Cmaxss	Output parameters
Tmax	Output parameters
Area under curve	Output parameters
AUC0-t	Area under curve
AUClast	Area under curve
AUC0-infinity	Area under curve
Area under moment curve	Output parameters
Mean residence time	Output parameters
half-life	Output parameters
bioavailavility	Output parameters
Relative bioavailability	bioavailavility
Mean absorption time	Output parameters
Mean dissolution time	Output parameters
Bioequivalence	Output parameters
absolute bioavailability	bioavailavility
elimination phase	Output parameters
absorption phase	Output parameters
CL/F	Output parameters
Aurine	Output parameters
Afeces	Output parameters
Cumulative amount in urine	Output parameters
Cumulative amount in feces	Output parameters
Creatinine	Output parameters
AUCss	Area under curve
Plasma concentration	Output parameters
Min Organ Concentration	Output parameters
Max organ concentration	Output parameters
Median Organ concentration	Output parameters
Percentile 2.5 plasma concentration	Plasma concentration
percentile 97.5 plasma concentration	Plasma concentration
Tolerable daily intake	Output parameters
Reconstructed exposure	Output parameters
Estimated daily intake	Output parameters
Biomonitoring equivalent	Output parameters
HBM-HBGV	Output parameters
Reference dose	Output parameters
Acceptable daily intake	Output parameters
Human biomonitoring	Output parameters
Reverse dosimetry	Output parameters
Forward dosimetry	Output parameters
Spot urine	Output parameters
Specific gravity	Output parameters
Reference human	Physiological Parameters
Biological matrix concentration	Physicochemical Parameters
Concentration in hair	Biological matrix concentration
Concentration in nail	Biological matrix concentration
Concentration in teeth	Biological matrix concentration
Concentration in blood	Biological matrix concentration
Concentration in urine	Biological matrix concentration
Permeability limited PBPK	Physiologically Based Pharmacokinetic Modeling
Vmax_baso_in vitro 	Biochemical Parameters
km_baso	Biochemical Parameters
Vmax_apical_invitro	Biochemical Parameters
km_apical	Biochemical Parameters
RAFapi	Biochemical Parameters
RAFbaso	Biochemical Parameters
Kiff	Biochemical Parameters
KeffluxC	Biochemical Parameters
Plasma Space	Miscellaneous Parameters
Endosomal Space	Miscellaneous Parameters
Interstitial Space	Miscellaneous Parameters
effective permeability (Peff)	Physicochemical Parameters
Population PBPK	Physiologically Based Pharmacokinetic Modeling
top-down PBPK	Physiologically Based Pharmacokinetic Modeling
bottom-up pbpk	Physiologically Based Pharmacokinetic Modeling
one-compartment PBPK	Physiologically Based Pharmacokinetic Modeling
central compartment	Compartment
Peripheral Compartment	Compartment
elimination	Biological process
linear elimination	elimination
non-linear elimination	elimination
goodness of fit	Statistical Method
Observed	Statistical Method
Predicted	Statistical Method
visual predictive check	Statistical Method
average fold error	Statistical Method
Residual error magnitude	Statistical Method
Mean Relative derivation	Statistical Method
Geometric mean fold error	Statistical Method
Sensitivty Analysis	Evaluation Metrics
Local Senstivity analysis	Sensitivty Analysis
Global Sensitvity analysis	Sensitivty Analysis
one at a time sensitivity analysis	Sensitivty Analysis
Lifetsages	Physiological Parameters
Fetus	Lifetsages
Infants	Lifetsages
Toddlers	Lifetsages
Children	Lifetsages
Teenagers	Lifetsages
Adolescent	Lifetsages
Adult	Lifetsages
Middle age	Lifetsages
old age	Lifetsages
pediatric	Lifetsages
geriatric	Lifetsages
Normal child	Children
obese child	Children
Uncertainity	Evaluation Metrics
Variability	Evaluation Metrics
Monte carlo simulation	Uncertainity
Brain PBPK	Physiologically Based Pharmacokinetic Modeling
Spinal CSF volume	Volume of organ
Cranial CSF volume	Volume of organ
Brain mass	Physiological Parameters
BBB	Compartment
Spinal CSF flow	Blood flow
Cranial CSF flow	Blood flow
BCSFB	Compartment
vhippocampus	Volume of organ
vfrontalcortex	Volume of organ
vcerebrum	Volume of organ
vcerebellum	Volume of organ
Qhippocampus	Blood flow
Qfrontalcortex	Blood flow
Qcerebrum	Blood flow
Qcerebellum	Blood flow
Khippocampus:brain	Partition coefficient
kcerebrum:brain	Partition coefficient
kcerebellum:brain	Partition coefficient
kfrontalcortex:brain	Partition coefficient
Pappcerebrum:brain	Miscellaneous Parameters
Pappcerebellum:brain	Miscellaneous Parameters
Papphippocampus:brain	Miscellaneous Parameters
Pappcortex:brain	Miscellaneous Parameters
Pregnant PBPK	Physiologically Based Pharmacokinetic Modeling
fetoplacental volume	Volume of organ
vfetus	Volume of organ
vplacenta	Volume of organ
vamnioticfluid	Volume of organ
vliverfetus	Volume of organ
vbrainfetus	Volume of organ
vkidneyfetus	Volume of organ
vrestbodyfetus	Volume of organ
placenta volume	Volume of organ
fetoplacental blood flow	Blood flow
fetal cardiac output	Blood flow
Qliverfetus	Blood flow
Qkidneyfetus	Blood flow
Qbrainfetus	Blood flow
Qrestbodyfetus	Blood flow
Gestational age	Miscellaneous Parameters
Gestational week	Miscellaneous Parameters
Vmax fetus	Biochemical Parameters
aminotic transfer coefficient	Miscellaneous Parameters
Kliverfetus:plasma	Partition coefficient
kbrainfetus:plasma	Partition coefficient
kkidneyfetus:plasma	Partition coefficient
krestbodyfetus:plasma	Partition coefficient
Kidney PBPK	Physiologically Based Pharmacokinetic Modeling
Bowmans capsule	Compartment
Filterate	Compartment
Proximal tubule	Compartment
loop of henle	Compartment
distal tubule	Compartment
collecting duct	Compartment
bladder	Compartment
lung PBPK	Physiologically Based Pharmacokinetic Modeling
extrathoracic	Compartment
thoracic	Compartment
bronchiolar	Compartment
alveolar	Compartment
Gut PBPK or ADAM model	Physiologically Based Pharmacokinetic Modeling
FQduodenum	Blood flow
FQjejunum	Blood flow
FQileum	Blood flow
FQcolon	Blood flow
FQcecum	Blood flow
Qduodenum	Blood flow
Qjejunum	Blood flow
Qileum	Blood flow
Qcolon	Blood flow
Qcecum	Blood flow
Fduodenum	Volume of organ
Fjejunum	Volume of organ
Fileum	Volume of organ
Fcolon	Volume of organ
Fcecum	Volume of organ
Vduodenum	Volume of organ
Vjejunum	Volume of organ
Vileum	Volume of organ
Vcolon	Volume of organ
Vcecum	Volume of organ
blilesalt effect solubilization ratio	Miscellaneous Parameters
mean precipitation time	Miscellaneous Parameters
Diffusion Coefficient	Physicochemical Parameters
particle density	Miscellaneous Parameters
particle radius	Miscellaneous Parameters
intestinal transit time	Miscellaneous Parameters
Lactational PBPK	Physiologically Based Pharmacokinetic Modeling
Milk:plasma ratio	Physiological Parameters
fumilk	Unbound fraction
Cmilk	Miscellaneous Parameters
daily milk intake	Miscellaneous Parameters
phmilk	Physiological Parameters
Blood-milk-barrier	Compartment
milk:plasma partition	Physiological Parameters
Biological process	
Enzymes	
UGT enzymes	Enzymes
Compartment	
Miscellaneous Parameters	Parameters
